timestamp,x,y,z
0,1.9,-0.6,9.29
10,1.9,-0.59,9.31
20,1.87,-0.51,9.28
30,1.84,-0.43,9.26
40,1.82,-0.29,9.23
50,1.79,-0.19,9.22
60,1.74,-0.1,9.32
70,1.72,-0.1,9.42
80,1.74,-0.18,9.55
90,1.77,-0.26,9.62
100,1.75,-0.34,9.6
110,1.78,-0.44,9.56
120,1.78,-0.53,9.46
130,1.77,-0.57,9.41
140,1.75,-0.6,9.53
150,1.77,-0.59,9.57
160,1.76,-0.58,9.64
170,1.77,-0.53,9.71
180,1.76,-0.47,9.71
190,1.75,-0.4,9.67
200,1.79,-0.37,9.6
210,1.81,-0.33,9.48
220,1.82,-0.28,9.36
230,1.8,-0.14,9.24
240,1.81,0.02,9.1
250,1.76,0.16,9.06
260,1.77,0.2,9.11
270,1.72,0.14,9.24
280,1.7,0.07,9.37
290,1.66,0.05,9.44
300,1.57,0.09,9.35
310,1.43,0.09,9.23
320,1.25,-0.05,9.16
330,1.19,-0.45,9.31
340,1.09,-0.86,9.75
350,1.05,-1.33,10.1
360,1.05,-2.2,10.44
370,1.13,-3.22,10.54
380,1.25,-4.65,10.27
390,1.36,-5.78,9.77
400,1.32,-6.74,8.9
410,1.19,-7.84,8.53
420,0.99,-8.82,8.72
430,0.68,-9.93,9.27
440,0.38,-10.86,10.23
450,0.11,-12.17,12.16
460,-0.09,-13.46,13.82
470,-0.19,-13.75,14.71
480,-0.29,-13.11,14.94
490,-0.41,-12.1,14.48
500,-0.55,-10.87,13.45
510,-0.71,-9.92,11.67
520,-0.88,-9.11,9.98
530,-1.04,-8.21,8.27
540,-1.06,-7.43,6.49
550,-1.1,-6.35,5.34
560,-1.18,-4.9,4.85
570,-1.35,-3.2,5.42
580,-1.47,-1.43,6.19
590,-1.44,-0.16,6.49
600,-1.47,0.96,7.22
610,-1.39,2.3,7.67
620,-1.29,3.28,7.89
630,-1.11,4.16,8.65
640,-0.69,4.81,8.92
650,-0.4,5.62,8.63
660,-0.08,6.75,8.07
670,0.14,8.07,6.83
680,0.28,9.45,5.46
690,0.48,10.58,4.49
700,0.74,11.38,3.52
710,0.95,11.93,2.95
720,1.11,12.27,3.08
730,1.18,12.59,3.69
740,1.15,13.09,4.32
750,0.88,13.73,5.06
760,0.52,14.39,5.63
770,0.13,15.1,5.81
780,-0.17,15.82,5.91
790,-0.28,16.45,6.47
800,-0.26,16.65,6.76
810,-0.21,16.46,6.1
820,-0.24,15.86,4.75
830,-0.21,14.83,2.87
840,-0.35,13.61,1.02
850,-0.84,12.51,0.08
860,-1.52,11.5,0.02
870,-2.08,10.34,0.64
880,-2.5,9.26,2.28
890,-3.03,9.06,4.19
900,-4.05,8.74,5.19
910,-4.95,7.87,6.96
920,-5.34,6.47,9.84
930,-5.33,4.44,12.18
940,-5.15,2.71,13.57
950,-5.12,1.57,13.02
960,-5.26,0.96,11.73
970,-5.53,0.73,11.16
980,-5.95,0.73,11.54
990,-6.24,0.66,12.57
1000,-6.44,0.08,13.59
1010,-6.46,-1.0,15.26
1020,-6.15,-2.29,16.96
1030,-5.81,-3.25,17.3
1040,-5.6,-3.54,16.48
1050,-5.55,-3.02,15.47
1060,-5.76,-1.98,13.55
1070,-6.1,-1.51,11.7
1080,-6.1,-2.41,11.5
1090,-6.03,-4.41,12.87
1100,-5.74,-6.72,14.86
1110,-5.2,-9.17,17.02
1120,-4.66,-10.37,18.33
1130,-4.43,-10.11,17.84
1140,-4.46,-8.66,15.73
1150,-4.59,-7.03,12.94
1160,-4.53,-6.45,11.49
1170,-4.35,-7.45,11.85
1180,-4.11,-9.04,12.78
1190,-3.72,-10.91,13.59
1200,-3.53,-12.68,14.55
1210,-3.26,-13.9,14.8
1220,-3.09,-14.43,14.69
1230,-3.11,-13.97,13.88
1240,-3.18,-13.1,12.97
1250,-3.26,-12.28,12.75
1260,-3.3,-11.38,12.66
1270,-3.41,-10.61,12.39
1280,-3.54,-9.83,11.65
1290,-3.64,-9.02,11.53
1300,-3.82,-7.98,11.15
1310,-4.06,-6.69,10.83
1320,-4.17,-5.53,11.04
1330,-4.19,-4.3,11.06
1340,-4.21,-3.02,10.74
1350,-4.14,-2.14,10.02
1360,-4.04,-1.63,9.41
1370,-3.95,-1.28,8.94
1380,-3.87,-1.21,8.49
1390,-3.8,-1.35,8.45
1400,-3.69,-1.01,8.85
1410,-3.82,0.05,9.18
1420,-3.9,1.45,9.33
1430,-3.79,2.74,9.53
1440,-3.59,3.68,8.95
1450,-3.39,4.06,8.09
1460,-3.2,3.87,7.66
1470,-3.03,3.34,7.99
1480,-2.99,2.62,9.19
1490,-2.95,2.29,10.7
1500,-2.94,2.8,11.72
