timestamp,x,y,z
0,3.33,-2.88,9.45
10,3.22,-2.46,9.44
20,3.17,-2.15,9.49
30,3.11,-1.88,9.66
40,3.08,-1.63,9.71
50,3.01,-1.44,9.69
60,2.92,-1.25,9.6
70,2.88,-1.1,9.5
80,2.83,-1.06,9.47
90,2.84,-1.08,9.52
100,2.82,-1.05,9.54
110,2.87,-0.95,9.48
120,2.89,-0.85,9.45
130,2.93,-0.8,9.39
140,2.97,-0.8,9.26
150,3.02,-0.87,9.09
160,3.09,-1.01,8.9
170,3.14,-1.19,8.82
180,3.17,-1.35,8.72
190,3.22,-1.51,8.71
200,3.26,-1.58,8.62
210,3.21,-1.52,8.52
220,3.17,-1.43,8.52
230,3.16,-1.41,8.53
240,3.15,-1.44,8.51
250,3.11,-1.47,8.48
260,3.07,-1.54,8.55
270,3.03,-1.59,8.68
280,2.94,-1.53,8.61
290,2.87,-1.37,8.45
300,2.82,-1.22,8.38
310,2.66,-1.15,8.43
320,2.52,-1.33,8.5
330,2.36,-1.78,8.85
340,2.19,-2.19,9.24
350,2.03,-2.41,9.49
360,2.04,-2.69,9.6
370,2.08,-3.27,9.66
380,2.22,-4.01,9.4
390,2.4,-4.9,9.11
400,2.6,-5.82,8.62
410,2.78,-6.62,8.31
420,2.94,-7.48,7.72
430,3.01,-8.42,6.97
440,3.07,-9.3,6.5
450,3.05,-10.26,6.28
460,3.14,-11.85,6.17
470,3.38,-13.78,6.44
480,3.51,-15.27,6.91
490,3.45,-15.82,7.44
500,3.16,-15.86,8.19
510,2.66,-15.07,9.07
520,2.07,-13.48,9.45
530,1.48,-11.51,9.57
540,0.9,-9.26,9.33
550,0.47,-7.07,9.19
560,0.16,-4.98,8.96
570,-0.04,-3.09,8.18
580,-0.14,-1.81,7.53
590,-0.15,-1.06,7.1
600,-0.17,-0.69,6.6
610,-0.18,-0.76,6.47
620,-0.15,-0.92,7.17
630,-0.23,-0.79,7.85
640,-0.37,-0.14,8.75
650,-0.39,0.97,9.4
660,-0.53,2.25,9.73
670,-0.64,3.56,9.5
680,-0.8,4.85,8.92
690,-0.84,5.8,8.68
700,-0.81,6.87,8.55
710,-0.96,8.37,8.51
720,-1.16,10.15,8.24
730,-1.19,12.23,8.03
740,-1.25,14.16,8.24
750,-1.28,16.15,8.99
760,-0.96,17.88,9.69
770,-0.75,19.22,10.09
780,-0.57,19.95,9.84
790,-0.41,19.67,9.05
800,-0.32,18.29,8.46
810,-0.11,15.94,8.51
820,0.08,13.35,8.84
830,0.28,11.1,9.09
840,0.37,9.57,9.0
850,0.43,8.97,8.22
860,0.42,9.38,6.86
870,0.07,10.48,5.05
880,-0.69,11.54,3.55
890,-1.54,12.01,3.53
900,-2.45,11.73,4.42
910,-3.06,10.88,6.52
920,-3.54,9.49,8.68
930,-3.93,7.72,9.88
940,-4.31,6.05,10.01
950,-4.76,4.17,9.45
960,-4.82,1.6,10.1
970,-4.61,-0.85,11.86
980,-4.54,-2.75,13.22
990,-4.43,-3.96,14.3
1000,-4.27,-4.23,14.66
1010,-4.34,-3.84,12.95
1020,-4.26,-3.52,10.24
1030,-4.23,-3.4,8.76
1040,-4.3,-3.47,8.19
1050,-4.46,-3.85,8.57
1060,-4.59,-4.11,9.83
1070,-4.96,-4.15,10.39
1080,-5.33,-4.57,10.45
1090,-5.39,-6.0,11.11
1100,-5.36,-8.01,11.97
1110,-5.3,-10.24,12.36
1120,-5.03,-12.77,12.87
1130,-4.6,-15.1,13.81
1140,-4.19,-16.46,14.32
1150,-3.96,-16.91,13.63
1160,-3.82,-16.53,12.64
1170,-3.72,-16.03,11.54
1180,-3.75,-15.39,10.48
1190,-3.78,-14.75,9.97
1200,-3.73,-14.54,10.05
1210,-3.73,-14.54,10.76
1220,-3.56,-14.64,11.59
1230,-3.47,-15.04,12.14
1240,-3.33,-15.22,12.19
1250,-3.38,-14.77,11.64
1260,-3.44,-14.11,10.84
1270,-3.38,-13.34,10.12
1280,-3.49,-12.18,9.41
1290,-3.66,-11.07,8.85
1300,-3.76,-10.35,8.74
1310,-3.89,-9.71,9.17
1320,-3.98,-9.27,9.41
1330,-3.93,-9.24,9.01
1340,-3.8,-9.46,8.7
1350,-3.85,-9.42,8.65
1360,-3.97,-8.91,8.93
1370,-4.22,-8.1,9.16
1380,-4.48,-6.96,9.19
1390,-4.74,-5.95,9.27
1400,-4.87,-5.21,9.37
1410,-4.85,-4.45,9.84
1420,-4.83,-3.71,10.99
1430,-4.9,-3.0,11.59
1440,-5.02,-2.3,11.99
1450,-5.1,-1.43,12.41
1460,-5.19,-0.56,12.98
1470,-5.16,0.87,13.7
1480,-5.11,2.67,14.14
1490,-4.99,4.84,13.94
1500,-4.78,7.16,12.76
