timestamp,x,y,z
0,3.64,-2.27,8.85
10,3.59,-2.29,8.92
20,3.57,-2.38,8.92
30,3.54,-2.43,8.88
40,3.53,-2.47,8.92
50,3.53,-2.52,9.01
60,3.57,-2.63,9.11
70,3.6,-2.75,9.06
80,3.65,-2.73,8.83
90,3.68,-2.64,8.68
100,3.7,-2.49,8.69
110,3.68,-2.44,8.68
120,3.66,-2.35,8.7
130,3.68,-2.26,8.74
140,3.69,-2.15,8.76
150,3.71,-2.05,8.62
160,3.74,-2.07,8.53
170,3.76,-2.13,8.4
180,3.77,-2.16,8.26
190,3.74,-2.21,8.21
200,3.65,-2.19,8.25
210,3.63,-2.21,8.47
220,3.6,-2.29,8.73
230,3.54,-2.24,8.91
240,3.51,-2.1,9.13
250,3.46,-2.03,9.22
260,3.42,-2.02,9.19
270,3.39,-2.03,9.1
280,3.38,-2.04,9.07
290,3.37,-2.08,8.93
300,3.34,-2.16,8.71
310,3.28,-2.33,8.54
320,3.2,-2.7,8.27
330,3.1,-3.05,8.02
340,3.07,-3.28,7.92
350,3.01,-3.39,7.92
360,2.9,-3.54,7.83
370,2.86,-4.0,7.72
380,2.75,-4.99,7.47
390,2.62,-5.96,6.97
400,2.72,-7.12,6.28
410,2.91,-8.59,6.0
420,3.25,-10.01,5.63
430,3.32,-11.71,5.79
440,3.42,-13.6,5.43
450,3.36,-15.33,5.13
460,3.25,-16.88,5.03
470,3.23,-18.03,5.06
480,3.09,-18.47,5.19
490,2.75,-17.9,5.28
500,2.21,-16.31,5.27
510,1.7,-13.98,5.62
520,1.29,-11.49,6.19
530,0.94,-9.3,6.28
540,0.64,-7.59,6.85
550,0.39,-6.29,7.4
560,0.13,-5.16,7.55
570,-0.03,-4.42,7.57
580,-0.15,-4.13,7.66
590,-0.35,-4.12,8.34
600,-0.52,-3.97,9.09
610,-0.55,-3.22,9.88
620,-0.65,-2.16,10.43
630,-0.73,-0.74,10.43
640,-0.86,1.3,9.86
650,-0.85,3.82,8.65
660,-0.6,6.15,7.24
670,-0.31,7.99,6.66
680,0.1,9.73,6.58
690,0.35,11.52,6.27
700,0.46,13.08,5.66
710,0.51,14.4,5.2
720,0.48,15.5,5.06
730,0.44,16.41,4.75
740,0.08,17.48,4.76
750,-0.44,18.42,5.72
760,-1.01,19.03,6.86
770,-1.65,19.38,8.09
780,-2.09,19.32,9.5
790,-1.86,18.7,10.51
800,-1.57,17.98,10.8
810,-1.56,17.27,9.98
820,-1.84,16.12,8.57
830,-2.32,14.65,7.11
840,-2.77,12.55,5.83
850,-3.37,10.03,5.59
860,-3.65,7.19,6.56
870,-3.75,5.11,8.53
880,-3.88,4.38,10.24
890,-4.26,4.8,10.47
900,-5.05,5.25,9.73
910,-5.61,5.06,10.0
920,-5.98,3.7,10.59
930,-6.45,1.7,11.15
940,-6.67,-0.81,11.9
950,-6.68,-3.5,13.04
960,-6.49,-6.24,14.45
970,-6.01,-8.55,15.61
980,-5.3,-9.96,16.01
990,-4.7,-10.47,15.19
1000,-4.04,-10.46,13.76
1010,-3.92,-9.71,12.07
1020,-4.16,-8.95,10.97
1030,-4.35,-8.73,10.55
1040,-4.58,-9.29,10.46
1050,-4.7,-10.34,10.9
1060,-4.52,-11.77,11.31
1070,-4.2,-13.5,11.48
1080,-3.89,-14.93,11.54
1090,-3.68,-16.05,11.48
1100,-3.45,-17.02,11.77
1110,-3.16,-17.45,11.6
1120,-2.97,-17.26,10.28
1130,-2.86,-17.07,9.05
1140,-2.58,-17.39,8.41
1150,-2.37,-18.21,7.99
1160,-2.26,-18.67,7.6
1170,-2.23,-19.1,7.26
1180,-2.12,-19.26,7.72
1190,-2.23,-18.68,7.39
1200,-2.48,-17.48,7.43
1210,-2.9,-15.88,7.58
1220,-3.36,-14.04,7.32
1230,-3.75,-12.08,7.75
1240,-4.19,-10.0,8.54
1250,-4.58,-8.19,9.68
1260,-4.75,-7.01,9.94
1270,-4.88,-6.36,9.52
1280,-4.87,-6.15,9.66
1290,-4.83,-5.99,9.89
1300,-4.81,-5.57,10.02
1310,-4.88,-4.85,9.71
1320,-5.05,-3.77,9.4
1330,-5.21,-2.56,9.45
1340,-5.29,-1.47,9.56
1350,-5.35,-0.17,9.75
1360,-5.53,0.98,10.34
1370,-5.6,2.21,11.44
1380,-5.58,3.73,11.77
1390,-5.62,5.47,11.96
1400,-5.64,7.45,12.6
1410,-5.54,9.22,13.38
1420,-5.07,10.29,14.56
1430,-4.47,10.96,15.37
1440,-3.89,11.42,14.8
1450,-3.23,11.05,13.61
1460,-2.54,9.89,12.16
1470,-2.05,8.59,10.6
1480,-1.56,7.1,9.56
1490,-1.01,5.55,8.96
1500,-0.56,4.0,8.91
