timestamp,x,y,z
0,3.9,-2.09,8.73
10,3.91,-2.11,8.63
20,3.95,-2.15,8.52
30,3.97,-2.19,8.53
40,3.99,-2.24,8.64
50,4.0,-2.29,8.8
60,3.95,-2.25,8.87
70,3.89,-2.21,8.91
80,3.86,-2.27,8.99
90,3.84,-2.29,9.04
100,3.82,-2.33,9.04
110,3.83,-2.35,9.02
120,3.88,-2.41,8.94
130,3.89,-2.42,8.94
140,3.91,-2.27,8.87
150,3.89,-2.14,8.86
160,3.89,-2.04,8.82
170,3.89,-1.93,8.71
180,3.89,-1.88,8.6
190,3.93,-1.92,8.57
200,3.93,-1.93,8.47
210,3.94,-1.92,8.36
220,3.93,-1.93,8.32
230,3.93,-1.9,8.23
240,3.93,-1.82,8.23
250,3.92,-1.73,8.16
260,3.96,-1.74,8.19
270,3.91,-1.73,8.28
280,3.8,-1.55,8.2
290,3.73,-1.38,8.16
300,3.65,-1.28,8.09
310,3.56,-1.3,8.11
320,3.46,-1.52,8.18
330,3.44,-1.84,8.33
340,3.56,-2.32,8.55
350,3.74,-3.15,8.61
360,3.96,-4.16,8.38
370,4.16,-5.52,7.82
380,4.24,-6.62,6.69
390,4.48,-7.53,5.1
400,4.44,-8.85,4.14
410,4.38,-10.36,3.5
420,4.14,-12.32,3.51
430,3.79,-15.08,4.28
440,3.51,-18.2,5.83
450,3.18,-20.81,7.78
460,2.76,-22.46,9.45
470,2.3,-22.79,11.15
480,1.57,-21.44,11.96
490,0.63,-18.38,12.05
500,0.02,-15.31,11.87
510,-0.47,-12.27,11.42
520,-0.89,-9.44,10.65
530,-0.94,-7.52,9.16
540,-0.78,-6.18,7.14
550,-0.62,-5.14,5.03
560,-0.61,-4.27,3.82
570,-0.57,-3.45,3.37
580,-0.58,-2.44,3.5
590,-0.67,-1.0,3.93
600,-0.71,0.83,4.22
610,-0.73,2.95,5.1
620,-0.76,5.48,6.19
630,-0.83,8.12,6.91
640,-1.0,10.74,7.72
650,-1.11,12.82,8.14
660,-1.03,14.34,8.74
670,-0.76,15.7,9.3
680,-0.44,16.69,9.3
690,-0.11,17.51,9.25
700,0.14,18.34,9.22
710,0.14,19.18,8.92
720,0.13,19.95,8.64
730,0.15,20.26,8.25
740,0.19,19.97,7.58
750,0.33,18.71,6.85
760,0.39,16.4,5.94
770,0.39,13.77,5.14
780,0.51,11.14,4.87
790,0.48,9.07,4.6
800,0.48,7.7,4.11
810,0.37,7.13,3.6
820,-0.12,7.41,3.42
830,-0.59,8.09,3.05
840,-1.19,8.41,2.84
850,-1.93,8.57,2.95
860,-2.64,8.21,3.54
870,-3.35,6.91,4.57
880,-4.2,5.64,7.37
890,-4.35,2.94,10.52
900,-4.24,0.65,13.52
910,-4.31,-0.85,15.48
920,-4.52,-1.16,15.1
930,-4.7,-1.16,13.82
940,-4.92,-1.35,12.58
950,-5.09,-1.94,12.22
960,-5.2,-3.46,12.68
970,-5.05,-5.35,13.58
980,-4.75,-7.14,14.26
990,-4.49,-8.07,14.05
1000,-4.62,-8.14,13.31
1010,-4.89,-8.24,12.71
1020,-5.23,-8.97,12.25
1030,-5.32,-10.77,12.73
1040,-5.0,-13.32,13.46
1050,-4.45,-16.04,14.21
1060,-3.79,-17.89,14.76
1070,-3.32,-18.3,14.16
1080,-3.23,-17.66,13.2
1090,-3.14,-16.96,12.54
1100,-3.04,-16.82,12.02
1110,-2.84,-17.15,11.86
1120,-2.61,-17.76,11.69
1130,-2.33,-18.47,10.92
1140,-2.1,-18.76,10.1
1150,-2.07,-18.42,8.9
1160,-2.18,-17.67,8.61
1170,-2.46,-16.63,8.35
1180,-2.72,-15.72,7.67
1190,-2.91,-15.08,7.89
1200,-3.34,-14.17,7.79
1210,-3.73,-12.89,8.03
1220,-4.11,-11.34,8.72
1230,-4.48,-9.69,9.18
1240,-4.74,-8.09,9.61
1250,-4.85,-6.66,9.93
1260,-4.91,-5.36,10.08
1270,-4.97,-4.29,10.43
1280,-4.97,-3.76,10.83
1290,-4.96,-3.55,11.16
1300,-4.85,-3.36,11.38
1310,-4.66,-3.14,11.31
1320,-4.47,-2.5,11.02
1330,-4.35,-1.43,10.5
1340,-4.38,-0.29,10.03
1350,-4.43,0.66,9.57
1360,-4.47,1.39,9.19
1370,-4.5,2.2,8.78
1380,-4.49,3.78,8.18
1390,-4.63,5.89,8.03
1400,-4.62,8.04,8.46
1410,-4.5,10.32,9.37
1420,-4.39,12.1,10.39
1430,-4.1,12.69,11.77
1440,-3.59,12.09,13.2
1450,-3.07,10.73,13.83
1460,-2.66,8.91,13.5
1470,-2.15,6.81,13.25
1480,-1.75,4.77,13.2
1490,-1.37,3.27,12.99
1500,-1.23,2.08,12.11
