timestamp,x,y,z
0,3.06,-3.1,8.92
10,3.06,-3.04,8.99
20,3.07,-3.01,9.13
30,3.1,-2.87,9.17
40,3.11,-2.83,9.19
50,3.09,-2.73,9.07
60,3.07,-2.61,8.9
70,3.09,-2.53,8.84
80,3.06,-2.42,8.77
90,3.04,-2.37,8.84
100,3.05,-2.42,8.89
110,3.09,-2.56,9.07
120,3.14,-2.61,9.21
130,3.15,-2.61,9.06
140,3.22,-2.75,8.8
150,3.25,-2.8,8.61
160,3.25,-2.82,8.48
170,3.26,-2.87,8.44
180,3.28,-2.97,8.45
190,3.27,-3.02,8.59
200,3.25,-2.94,8.76
210,3.23,-2.85,8.84
220,3.2,-2.68,9.01
230,3.14,-2.43,8.99
240,3.11,-2.32,9.05
250,3.14,-2.31,9.04
260,3.11,-2.26,8.87
270,3.14,-2.31,8.76
280,3.14,-2.36,8.68
290,3.14,-2.35,8.52
300,3.11,-2.37,8.43
310,3.07,-2.37,8.41
320,2.98,-2.28,8.26
330,2.84,-2.39,7.97
340,2.65,-2.53,7.59
350,2.38,-2.57,7.23
360,2.07,-2.61,6.92
370,1.89,-3.0,6.99
380,1.8,-3.77,7.41
390,1.78,-4.47,7.72
400,1.97,-6.19,8.66
410,2.3,-8.76,9.26
420,2.9,-11.35,9.19
430,3.32,-13.92,8.83
440,3.63,-16.08,7.3
450,3.79,-17.55,5.86
460,3.65,-18.4,4.18
470,3.25,-18.32,2.84
480,2.66,-16.88,2.74
490,2.0,-14.77,3.57
500,1.29,-12.08,5.11
510,0.73,-9.2,6.94
520,0.28,-6.52,8.33
530,-0.03,-4.73,9.24
540,-0.22,-4.01,9.71
550,-0.34,-4.07,9.53
560,-0.32,-4.76,9.08
570,-0.13,-5.44,9.09
580,-0.04,-5.86,9.01
590,-0.02,-5.76,9.12
600,-0.01,-5.77,9.46
610,-0.15,-5.51,10.06
620,-0.27,-5.2,10.61
630,-0.32,-4.88,10.96
640,-0.23,-3.9,11.04
650,-0.19,-2.26,11.14
660,-0.21,-0.01,11.23
670,-0.33,2.72,10.56
680,-0.45,5.91,9.79
690,-0.34,8.31,8.63
700,-0.22,10.35,7.72
710,0.08,11.69,6.94
720,0.4,12.35,6.41
730,0.63,12.68,6.42
740,0.88,12.78,6.9
750,1.1,12.88,7.75
760,1.37,13.32,8.56
770,1.44,13.99,8.58
780,1.49,14.74,7.92
790,1.35,15.42,6.97
800,1.05,15.76,5.87
810,0.75,15.21,4.7
820,0.73,13.64,4.19
830,1.08,11.21,5.03
840,1.32,8.89,6.5
850,1.48,7.0,6.67
860,1.47,6.13,5.88
870,1.31,6.66,4.52
880,0.83,7.67,2.53
890,0.1,8.72,1.1
900,-0.82,9.44,1.01
910,-1.48,9.02,2.68
920,-2.11,7.96,6.45
930,-2.46,5.99,10.59
940,-2.8,4.6,12.44
950,-3.11,3.72,12.39
960,-3.32,3.23,10.83
970,-3.4,2.57,9.09
980,-3.53,2.0,8.66
990,-3.85,1.19,9.75
1000,-4.17,0.27,11.99
1010,-4.4,-1.5,13.98
1020,-4.52,-3.31,14.92
1030,-4.63,-4.9,15.24
1040,-4.56,-6.05,15.39
1050,-4.28,-6.86,15.81
1060,-4.0,-7.32,16.22
1070,-3.73,-7.38,15.61
1080,-3.64,-7.04,13.75
1090,-3.83,-6.6,13.05
1100,-4.23,-6.32,12.79
1110,-4.53,-6.54,13.48
1120,-4.7,-7.11,14.23
1130,-4.75,-7.77,14.77
1140,-4.71,-8.45,14.75
1150,-4.59,-9.08,14.02
1160,-4.4,-9.95,13.49
1170,-4.16,-11.06,13.07
1180,-3.9,-12.09,12.94
1190,-3.61,-12.95,12.76
1200,-3.34,-13.54,12.24
1210,-3.01,-13.94,11.47
1220,-2.73,-14.22,10.84
1230,-2.44,-14.43,10.41
1240,-2.26,-14.59,9.72
1250,-2.14,-14.71,9.38
1260,-2.13,-14.55,9.33
1270,-2.26,-13.93,9.35
1280,-2.49,-12.96,9.43
1290,-2.74,-11.88,9.62
1300,-2.95,-10.95,9.97
1310,-3.08,-10.12,10.47
1320,-3.29,-8.77,10.8
1330,-3.48,-7.2,11.27
1340,-3.58,-5.93,11.45
1350,-3.57,-4.87,11.31
1360,-3.46,-3.86,10.93
1370,-3.28,-2.96,9.76
1380,-3.09,-2.24,8.51
1390,-2.88,-1.86,8.0
1400,-2.69,-1.87,8.54
1410,-2.55,-2.29,9.51
1420,-2.47,-2.68,10.19
1430,-2.45,-2.69,10.41
1440,-2.46,-2.32,10.54
1450,-2.52,-1.22,10.26
1460,-2.74,0.62,9.7
1470,-2.84,2.48,9.67
1480,-2.86,4.2,10.0
1490,-2.81,5.17,10.06
1500,-2.63,5.55,9.52
