timestamp,x,y,z
0,5.45,0.38,7.58
10,5.48,0.05,7.28
20,5.51,-0.18,7.12
30,5.54,-0.23,7.18
40,5.58,-0.32,7.51
50,5.68,-0.54,7.89
60,5.72,-0.73,7.9
70,5.79,-1.07,7.85
80,5.82,-1.31,7.95
90,5.78,-1.39,8.03
100,5.74,-1.28,8.05
110,5.67,-1.05,8.12
120,5.6,-0.83,8.2
130,5.58,-0.62,8.22
140,5.53,-0.45,8.08
150,5.5,-0.36,7.89
160,5.49,-0.36,7.85
170,5.45,-0.37,7.99
180,5.44,-0.35,8.22
190,5.44,-0.39,8.42
200,5.45,-0.51,8.6
210,5.45,-0.52,8.64
220,5.47,-0.51,8.58
230,5.47,-0.5,8.56
240,5.45,-0.42,8.54
250,5.43,-0.29,8.32
260,5.45,-0.18,8.12
270,5.49,-0.25,8.09
280,5.48,-0.26,8.18
290,5.45,-0.13,8.2
300,5.36,0.06,8.25
310,5.26,0.29,8.35
320,5.15,0.54,8.25
330,5.01,0.74,8.0
340,4.89,0.87,8.04
350,4.72,1.42,7.87
360,4.47,2.26,7.48
370,4.28,3.26,6.85
380,4.09,4.49,6.0
390,3.84,5.64,4.77
400,3.53,6.32,3.54
410,3.24,6.45,2.36
420,3.19,5.81,1.39
430,2.98,4.96,0.92
440,2.8,3.85,1.02
450,2.6,2.85,1.83
460,2.37,2.35,2.55
470,2.21,2.14,2.77
480,2.11,1.73,2.53
490,1.96,0.16,2.25
500,1.93,-2.3,2.23
510,2.01,-4.98,2.85
520,2.14,-7.6,4.01
530,2.24,-9.44,5.29
540,2.16,-10.47,6.38
550,1.9,-10.37,7.29
560,1.59,-9.31,7.99
570,1.52,-7.61,8.46
580,1.43,-6.48,8.43
590,1.35,-6.94,8.27
600,1.08,-8.21,8.09
610,0.94,-9.5,7.83
620,0.56,-10.04,8.09
630,0.12,-9.34,9.05
640,-0.29,-7.77,10.69
650,-0.6,-6.23,12.47
660,-0.9,-5.12,13.63
670,-1.02,-3.71,13.77
680,-1.02,-4.59,14.3
690,-0.89,-3.55,15.4
700,-0.34,-8.47,12.8
710,0.14,-7.45,11.43
720,0.47,-7.19,12.12
730,0.66,-7.5,12.93
740,0.26,-7.81,13.19
750,-0.28,-7.37,13.93
760,-0.56,-6.25,17.92
770,-1.02,-6.79,18.25
780,-0.85,-6.71,19.09
790,-0.67,-7.58,18.16
800,-0.34,-8.55,16.43
810,-0.23,-8.98,14.39
820,-0.13,-8.65,13.29
830,-0.31,-7.52,13.8
840,-0.66,-6.19,14.59
850,-1.27,-4.51,13.63
860,-1.38,-2.95,13.85
870,-1.56,-2.41,13.72
880,-1.45,-2.06,14.13
890,-1.06,-2.18,13.8
900,-0.29,-2.49,14.24
910,0.03,-2.26,14.22
920,0.19,-1.94,13.23
930,-0.1,-0.86,12.01
940,-0.27,0.32,11.31
950,-0.33,1.18,11.13
960,-0.3,1.82,11.34
970,-0.08,2.42,11.73
980,0.49,2.99,12.05
990,0.82,4.16,12.46
1000,1.16,5.83,12.57
1010,1.44,7.58,12.16
1020,1.82,7.8,11.38
1030,2.12,6.16,11.07
1040,2.43,4.46,11.32
1050,2.61,3.06,11.66
1060,2.63,2.36,11.81
1070,2.46,2.74,11.87
1080,2.11,3.55,10.44
1090,2.14,3.92,10.81
1100,2.1,4.48,12.49
1110,2.1,4.19,12.56
1120,2.24,3.54,11.6
1130,2.42,3.38,11.1
1140,2.41,3.61,10.82
1150,2.48,3.92,9.62
1160,2.47,4.36,8.23
1170,2.55,4.84,7.29
1180,2.57,4.92,6.6
1190,2.71,4.7,6.18
1200,2.72,4.39,6.26
1210,2.83,3.88,6.91
1220,2.98,3.35,7.79
1230,3.15,2.9,8.63
1240,3.24,2.73,8.85
1250,2.92,2.75,7.85
1260,2.81,2.71,6.01
1270,2.75,2.69,4.47
1280,2.82,2.56,3.96
1290,2.79,2.37,4.64
1300,2.75,2.27,5.96
1310,2.76,2.33,6.92
1320,2.85,2.47,6.88
1330,2.95,2.32,6.03
1340,3.24,1.95,4.98
1350,3.46,1.42,4.09
1360,3.73,0.72,3.29
1370,3.82,-0.0,2.74
1380,3.88,-0.6,2.85
1390,4.02,-0.92,3.58
1400,4.1,-1.07,4.13
1410,4.21,-1.05,4.45
1420,4.27,-1.2,4.44
1430,4.45,-1.3,4.74
1440,4.64,-1.87,5.18
1450,4.88,-3.08,5.58
1460,5.05,-4.3,5.35
1470,5.22,-4.71,5.17
1480,5.41,-5.04,5.58
1490,5.5,-5.31,6.14
1500,5.53,-5.61,6.24
