timestamp,x,y,z
0,3.69,4.5,2.41
10,3.68,2.8,1.95
20,3.52,0.45,2.92
30,3.4,-1.78,3.66
40,3.26,-3.55,4.67
50,3.23,-5.05,5.77
60,3.1,-6.06,6.86
70,3.02,-6.46,7.54
80,2.76,-6.1,7.63
90,2.57,-5.07,6.74
100,2.58,-3.7,5.88
110,2.41,-2.5,5.57
120,2.11,-2.08,5.45
130,1.77,-2.37,5.58
140,1.42,-3.12,6.09
150,1.12,-4.06,6.55
160,0.97,-4.89,6.92
170,0.96,-5.5,7.28
180,1.14,-6.0,7.73
190,1.54,-6.36,8.24
200,2.32,-6.84,8.62
210,3.08,-7.52,8.83
220,3.12,-8.39,9.04
230,2.43,-8.52,9.58
240,1.39,-7.51,10.52
250,0.37,-5.95,11.78
260,-0.48,-4.61,13.8
270,-0.91,-3.62,16.41
280,-0.72,-2.83,18.56
290,-0.54,-3.73,19.37
300,0.62,-2.51,20.37
310,1.02,-4.87,19.54
320,1.55,-8.58,15.97
330,1.58,-7.07,13.65
340,1.01,-6.52,12.61
350,0.41,-7.04,12.99
360,0.24,-6.05,15.94
370,0.33,-4.43,18.72
380,0.31,-2.77,21.86
390,-0.25,-2.25,19.73
400,-0.83,-0.88,19.15
410,-1.17,0.23,18.75
420,-1.55,1.22,18.34
430,-1.93,2.93,17.85
440,-1.41,3.49,17.42
450,-0.86,4.05,16.73
460,-0.05,4.85,15.39
470,0.51,4.73,13.75
480,1.25,3.93,11.96
490,1.72,2.95,10.61
500,1.97,2.77,10.13
510,1.94,3.25,10.3
520,1.77,4.43,10.71
530,1.54,5.8,11.15
540,1.42,6.85,11.47
550,1.42,7.44,11.69
560,1.43,7.74,11.9
570,1.52,8.02,12.16
580,1.62,8.43,12.23
590,1.44,9.01,11.09
600,1.44,8.96,10.4
610,1.3,9.1,10.21
620,1.02,9.67,9.47
630,1.0,9.55,8.97
640,0.97,9.22,6.59
650,1.68,7.01,5.89
660,1.79,7.04,6.25
670,1.84,7.11,6.66
680,1.91,6.87,7.28
690,1.92,7.16,7.22
700,1.95,7.19,6.96
710,2.09,7.14,6.79
720,2.31,6.37,6.36
730,2.38,5.5,4.9
740,2.73,4.65,3.91
750,3.13,3.54,4.29
760,3.27,2.83,3.24
770,3.62,1.75,2.89
780,3.56,0.92,3.91
790,3.9,2.68,3.41
800,3.88,2.38,4.44
810,3.82,2.73,4.21
820,3.92,2.41,3.64
830,3.94,1.79,3.21
840,4.04,1.09,2.76
850,4.13,0.48,3.02
860,4.22,0.06,2.38
870,4.7,1.96,2.2
880,4.54,0.93,3.27
890,4.52,0.28,3.43
900,4.58,1.63,4.68
910,4.57,3.28,7.28
920,4.78,1.96,8.14
930,4.79,0.96,6.0
940,4.95,0.48,4.39
950,5.32,-0.33,4.99
960,5.62,-2.03,5.33
970,5.8,-3.86,4.88
980,6.02,-4.99,4.97
990,6.23,-5.86,5.89
1000,6.39,-6.36,6.41
1010,6.49,-5.99,5.99
1020,6.43,-4.83,5.67
1030,6.41,-3.59,6.53
1040,6.32,-2.79,7.01
1050,6.31,-1.92,7.47
1060,6.28,-1.19,8.41
1070,6.25,-1.17,8.87
1080,6.26,-1.29,8.21
1090,6.32,-1.5,6.88
1100,6.37,-1.57,6.29
1110,6.55,-1.55,6.78
1120,6.64,-1.13,7.31
1130,6.61,-0.74,7.47
1140,6.54,-0.69,7.33
1150,6.47,-0.91,7.08
1160,6.39,-1.39,7.0
1170,6.4,-1.73,7.17
1180,6.37,-1.65,7.8
1190,6.31,-1.33,8.46
1200,6.27,-0.7,8.98
1210,6.14,-0.08,9.39
1220,6.05,0.32,9.52
1230,5.99,0.41,9.39
1240,5.96,0.2,9.3
1250,5.98,-0.15,9.3
1260,6.07,-0.57,9.29
1270,6.08,-0.95,9.21
1280,6.14,-1.25,9.28
1290,6.16,-1.41,9.51
1300,6.11,-1.48,9.67
1310,6.01,-1.41,9.78
1320,5.91,-1.25,9.85
1330,5.81,-1.05,9.87
1340,5.71,-0.62,9.84
1350,5.63,-0.07,9.8
1360,5.59,0.38,9.61
1370,5.6,0.69,9.25
1380,5.57,0.85,8.87
1390,5.57,0.92,8.66
1400,5.54,0.84,8.45
1410,5.49,0.69,8.23
1420,5.47,0.66,8.16
1430,5.53,0.72,8.28
1440,5.56,0.85,8.32
1450,5.58,0.94,8.21
1460,5.63,0.95,7.99
1470,5.7,0.85,7.75
1480,5.75,0.67,7.45
1490,5.82,0.3,7.24
1500,5.87,0.06,7.29
