timestamp,x,y,z
0,5.56,-0.21,8.37
10,5.56,-0.28,8.18
20,5.57,-0.44,8.08
30,5.56,-0.61,8.05
40,5.56,-0.7,8.13
50,5.56,-0.74,8.28
60,5.51,-0.59,8.44
70,5.52,-0.52,8.54
80,5.51,-0.45,8.61
90,5.52,-0.28,8.46
100,5.54,-0.26,8.06
110,5.55,-0.26,7.85
120,5.54,-0.35,7.98
130,5.51,-0.32,8.18
140,5.44,-0.14,8.32
150,5.41,0.05,8.39
160,5.4,0.3,8.33
170,5.4,0.46,8.09
180,5.43,0.58,7.72
190,5.39,0.71,7.29
200,5.36,0.85,7.19
210,5.32,0.96,6.97
220,5.25,1.08,6.75
230,5.21,1.21,6.53
240,5.19,1.32,6.39
250,5.12,1.34,6.31
260,5.07,1.26,6.18
270,4.99,1.09,5.94
280,4.89,0.97,5.73
290,4.74,1.02,5.51
300,4.52,1.23,5.24
310,4.24,1.62,5.04
320,3.91,2.06,4.76
330,3.5,2.35,4.5
340,3.18,2.6,4.37
350,2.88,2.77,4.18
360,2.55,2.53,3.85
370,2.34,1.88,3.68
380,2.2,1.2,3.88
390,2.11,0.8,4.04
400,2.09,0.28,3.73
410,2.05,-0.6,3.49
420,2.02,-1.59,3.51
430,2.01,-3.0,3.7
440,1.85,-4.43,3.72
450,1.48,-5.72,3.88
460,1.17,-6.56,4.4
470,1.06,-7.18,5.21
480,1.1,-7.34,6.19
490,0.9,-7.69,7.0
500,0.75,-8.42,7.83
510,0.62,-9.18,8.99
520,0.31,-9.65,10.66
530,0.03,-9.7,12.38
540,-0.23,-9.4,13.46
550,-0.5,-8.96,13.34
560,-0.62,-8.56,12.73
570,-0.49,-8.55,13.19
580,0.06,-9.14,14.25
590,0.63,-9.05,14.31
600,0.38,-12.27,12.88
610,0.81,-9.9,14.03
620,-0.17,-13.9,14.23
630,-0.57,-14.2,13.77
640,-1.9,-8.06,15.02
650,-2.59,-4.97,16.45
660,-2.49,-4.61,16.36
670,-1.98,-4.23,16.93
680,-0.97,-3.57,19.45
690,-0.73,-3.78,16.97
700,-0.97,-3.14,15.97
710,-1.45,-2.15,15.76
720,-1.84,-0.55,15.83
730,-2.14,1.5,16.01
740,-2.14,1.68,16.6
750,-1.46,2.51,17.02
760,-0.89,3.04,18.05
770,-0.34,2.77,18.45
780,0.29,0.95,17.27
790,0.38,0.38,15.43
800,-0.27,2.4,13.87
810,-0.2,4.57,12.51
820,0.3,5.19,12.23
830,0.72,6.54,13.79
840,1.08,7.83,14.86
850,1.3,8.0,13.83
860,1.64,7.76,12.72
870,1.9,6.89,11.48
880,1.52,6.04,6.85
890,2.28,3.08,6.49
900,2.33,2.18,7.98
910,2.3,2.62,9.86
920,1.99,4.26,11.83
930,1.76,5.89,12.9
940,1.68,6.51,12.81
950,1.78,6.45,11.65
960,1.99,6.37,11.1
970,2.17,5.36,9.73
980,2.17,4.96,7.53
990,2.21,5.67,6.7
1000,2.34,6.56,6.69
1010,2.39,6.92,6.43
1020,2.52,6.97,6.49
1030,2.75,6.58,6.86
1040,2.88,6.03,6.78
1050,2.82,5.34,6.05
1060,2.71,4.78,4.85
1070,2.67,4.42,3.71
1080,2.65,4.12,3.28
1090,2.7,4.13,3.81
1100,2.86,4.19,4.67
1110,2.96,4.05,5.24
1120,3.0,4.02,5.18
1130,3.01,4.03,4.95
1140,3.0,3.81,4.4
1150,2.89,3.26,3.49
1160,2.97,2.39,3.02
1170,3.06,1.28,2.87
1180,3.24,0.35,3.01
1190,3.42,0.06,3.45
1200,3.51,0.31,3.98
1210,3.55,0.76,4.31
1220,3.54,0.77,4.58
1230,3.61,0.35,5.09
1240,3.73,-0.49,5.86
1250,3.98,-1.5,6.68
1260,4.44,-2.59,7.44
1270,4.82,-4.07,7.63
1280,5.15,-5.19,7.25
1290,5.25,-6.68,6.54
1300,5.45,-7.05,6.31
1310,5.64,-6.43,6.98
1320,5.73,-5.1,7.75
1330,5.73,-3.67,7.57
1340,5.74,-2.6,7.54
1350,5.83,-2.33,8.13
1360,5.95,-2.81,8.18
1370,5.98,-3.43,7.52
1380,5.88,-3.82,6.84
1390,5.82,-3.75,6.7
1400,5.67,-3.12,7.15
1410,5.59,-2.25,7.96
1420,5.55,-1.57,8.58
1430,5.59,-1.3,9.59
1440,5.66,-1.45,10.5
1450,5.68,-1.75,10.78
1460,5.62,-1.98,10.25
1470,5.54,-2.14,9.47
1480,5.54,-2.04,9.11
1490,5.56,-1.91,9.19
1500,5.57,-1.79,9.38
