timestamp,x,y,z
0,5.52,0.36,8.38
10,5.52,0.47,8.45
20,5.5,0.43,8.3
30,5.55,0.31,8.12
40,5.6,0.22,8.02
50,5.6,0.07,7.92
60,5.61,0.04,7.96
70,5.65,-0.07,8.19
80,5.63,-0.16,8.48
90,5.63,-0.07,8.61
100,5.61,-0.03,8.57
110,5.64,0.01,8.41
120,5.63,0.14,8.31
130,5.66,0.26,8.21
140,5.66,0.28,8.13
150,5.62,0.27,8.35
160,5.7,0.21,8.71
170,5.71,0.22,8.86
180,5.7,0.3,8.81
190,5.67,0.49,8.86
200,5.62,0.75,8.96
210,5.54,1.14,8.92
220,5.44,1.56,8.83
230,5.33,1.99,8.6
240,5.27,2.4,8.5
250,5.13,2.96,8.49
260,5.0,3.39,8.01
270,4.87,3.64,7.41
280,4.77,3.95,6.93
290,4.7,4.33,6.49
300,4.46,4.89,6.08
310,4.37,4.88,5.63
320,4.19,5.03,5.47
330,4.03,4.94,5.23
340,3.9,4.74,4.9
350,3.63,4.64,4.54
360,3.25,4.76,3.98
370,2.97,4.88,3.41
380,2.65,5.31,2.51
390,2.47,5.87,0.98
400,2.47,6.25,1.86
410,2.38,5.14,2.09
420,2.15,2.79,1.58
430,1.88,-0.19,2.32
440,1.71,-3.55,2.44
450,1.78,-6.32,2.85
460,1.9,-8.11,4.05
470,2.04,-8.94,5.57
480,2.07,-8.6,6.85
490,1.92,-7.88,7.51
500,1.78,-7.52,7.95
510,1.64,-7.62,8.78
520,1.68,-7.99,9.75
530,1.76,-8.52,10.42
540,1.82,-9.21,10.21
550,1.91,-9.64,9.37
560,1.84,-9.39,8.76
570,1.75,-8.56,9.02
580,1.51,-7.91,9.78
590,1.15,-7.44,10.55
600,0.79,-7.19,11.03
610,0.61,-7.15,11.01
620,0.67,-7.2,10.67
630,0.84,-7.29,10.33
640,0.92,-7.47,10.25
650,0.95,-7.13,10.57
660,0.71,-7.93,10.66
670,0.5,-4.89,13.28
680,-0.01,-7.84,14.06
690,-0.25,-9.17,12.95
700,0.01,-6.51,13.53
710,0.37,-5.29,14.77
720,0.35,-4.39,15.15
730,-0.16,-4.21,14.76
740,-0.88,-3.98,15.68
750,-1.54,-2.77,20.6
760,-2.11,-2.74,20.76
770,-2.43,-1.15,21.11
780,-2.38,0.23,19.72
790,-2.09,1.06,18.08
800,-1.4,1.85,16.02
810,-0.62,2.19,13.92
820,-0.1,1.55,12.89
830,0.19,0.84,12.93
840,0.29,0.52,13.91
850,0.29,0.6,15.12
860,0.22,0.92,15.59
870,0.57,0.74,16.75
880,1.02,0.28,17.27
890,0.8,0.95,14.86
900,0.85,0.48,14.36
910,0.62,1.01,14.03
920,0.46,2.36,13.09
930,0.24,4.09,11.84
940,0.22,5.47,10.44
950,0.44,6.09,9.5
960,0.67,6.23,9.34
970,0.7,6.15,9.89
980,0.51,6.04,10.6
990,0.33,6.14,11.1
1000,0.29,6.62,11.16
1010,0.36,7.53,10.69
1020,0.15,8.14,9.45
1030,0.55,8.15,8.03
1040,0.67,7.61,5.99
1050,1.31,8.13,6.87
1060,1.05,9.72,7.36
1070,1.03,10.22,7.11
1080,1.08,9.81,6.81
1090,1.02,9.31,7.09
1100,1.03,8.93,7.51
1110,1.25,8.1,7.73
1120,1.43,7.01,8.33
1130,1.57,5.92,8.02
1140,1.73,4.99,7.19
1150,1.72,4.68,6.52
1160,1.95,4.84,6.53
1170,2.04,4.91,6.67
1180,1.98,4.96,6.48
1190,2.07,4.51,6.15
1200,2.12,3.94,6.21
1210,2.38,3.35,6.38
1220,2.61,2.58,6.62
1230,2.9,1.65,6.79
1240,2.98,1.75,6.99
1250,3.02,2.45,6.68
1260,3.08,2.75,5.15
1270,3.22,2.48,2.93
1280,3.37,1.77,1.54
1290,3.61,0.74,1.92
1300,3.81,-0.47,3.35
1310,3.95,-1.47,3.85
1320,4.33,-2.15,4.05
1330,4.61,-2.83,4.36
1340,4.85,-3.82,4.59
1350,5.09,-3.91,5.6
1360,5.28,-3.14,7.62
1370,5.46,-3.3,9.51
1380,5.75,-3.05,9.68
1390,5.48,-3.13,8.84
1400,6.03,-3.35,7.72
1410,6.23,-4.45,7.88
1420,6.46,-5.05,7.52
1430,6.77,-5.85,6.97
1440,6.87,-6.48,5.85
1450,6.86,-6.56,4.7
1460,6.67,-6.08,4.64
1470,6.57,-4.62,5.68
1480,6.39,-3.25,6.55
1490,6.19,-1.81,7.19
1500,6.05,-0.29,7.81
