timestamp,x,y,z
0,6.76,0.13,6.85
10,6.83,-0.02,6.96
20,6.83,-0.15,7.19
30,6.86,-0.23,7.24
40,6.88,-0.33,7.17
50,6.85,-0.39,7.17
60,6.88,-0.4,7.21
70,6.86,-0.31,7.03
80,6.86,-0.28,6.85
90,6.9,-0.32,6.89
100,6.95,-0.4,7.05
110,6.93,-0.47,7.1
120,6.95,-0.49,7.11
130,6.96,-0.52,7.27
140,7.0,-0.47,7.43
150,7.02,-0.32,7.42
160,7.03,-0.08,7.28
170,7.03,0.07,7.12
180,7.05,0.04,7.05
190,7.06,-0.08,7.03
200,7.07,-0.21,7.06
210,7.09,-0.31,7.1
220,7.09,-0.29,7.16
230,7.1,-0.25,7.25
240,7.21,-0.3,7.31
250,7.33,-0.33,7.3
260,7.44,-0.31,7.25
270,7.59,-0.16,7.18
280,7.69,0.09,7.24
290,7.73,0.44,7.43
300,7.83,0.78,7.51
310,7.9,1.09,7.55
320,7.99,1.36,7.6
330,8.03,1.67,7.55
340,7.97,2.01,7.42
350,7.75,2.46,7.35
360,7.43,3.14,7.7
370,7.05,4.28,7.93
380,6.65,5.59,7.92
390,6.21,6.72,7.56
400,5.73,7.54,6.96
410,5.32,8.08,6.31
420,5.02,8.25,5.51
430,4.59,8.45,4.59
440,4.14,8.67,3.67
450,3.82,8.8,2.72
460,3.46,8.82,1.88
470,3.06,8.86,1.07
480,2.74,8.91,0.14
490,2.29,8.48,-0.64
500,1.92,7.0,-0.68
510,1.67,5.08,0.88
520,1.51,2.89,2.6
530,1.29,0.39,2.94
540,1.12,-2.14,3.52
550,1.1,-4.2,4.57
560,1.38,-5.87,6.11
570,1.61,-7.11,7.9
580,1.7,-7.9,8.69
590,1.63,-8.25,7.83
600,1.55,-8.52,6.19
610,1.52,-8.81,5.77
620,1.69,-8.79,6.32
630,1.86,-8.71,6.69
640,1.89,-8.89,6.8
650,1.88,-8.44,6.22
660,1.75,-7.56,5.23
670,1.45,-6.33,4.76
680,1.12,-5.4,5.55
690,0.76,-5.05,7.25
700,0.29,-4.83,9.19
710,0.21,-5.04,10.89
720,0.39,-5.65,11.93
730,0.66,-6.6,11.96
740,0.86,-7.59,10.93
750,0.73,-8.47,9.43
760,0.53,-9.41,8.48
770,0.49,-9.75,8.28
780,0.61,-10.13,8.82
790,1.0,-8.77,9.45
800,0.92,-9.17,11.37
810,0.2,-8.43,12.36
820,-0.64,-14.21,14.39
830,-0.08,-7.33,24.44
840,-1.18,-5.12,18.96
850,-1.21,-5.86,16.02
860,-0.38,-4.65,15.26
870,0.8,-3.78,16.55
880,1.7,-4.87,16.01
890,1.38,-7.2,13.68
900,0.63,-7.69,12.89
910,0.25,-7.16,18.59
920,-0.85,-5.54,18.2
930,-1.66,-2.84,18.63
940,-1.58,-1.14,19.71
950,-0.97,-0.16,19.75
960,-0.18,-0.04,18.62
970,0.28,-0.74,16.48
980,0.4,-0.89,12.82
990,0.54,-0.87,10.98
1000,0.39,-0.78,9.73
1010,0.41,0.03,10.13
1020,0.89,1.01,11.39
1030,1.49,1.95,12.9
1040,1.75,2.42,14.6
1050,1.66,3.0,16.08
1060,1.49,3.76,16.62
1070,1.38,4.59,16.2
1080,1.29,5.23,15.32
1090,1.24,5.65,14.86
1100,1.24,6.03,13.9
1110,1.49,6.81,11.99
1120,1.69,8.31,9.75
1130,1.99,10.0,7.52
1140,2.16,10.94,5.78
1150,2.68,10.45,4.86
1160,3.17,10.61,5.47
1170,3.13,9.67,7.8
1180,2.96,8.57,9.38
1190,2.84,7.88,10.56
1200,2.77,7.6,11.42
1210,2.61,7.51,11.52
1220,2.48,7.51,10.2
1230,2.54,7.67,8.77
1240,2.53,8.07,7.43
1250,2.47,8.78,6.28
1260,2.44,9.25,5.51
1270,2.52,9.17,5.37
1280,2.46,8.88,5.93
1290,2.44,8.58,6.43
1300,2.51,8.11,6.31
1310,2.54,7.62,5.68
1320,2.59,7.08,5.06
1330,2.41,6.33,4.61
1340,2.3,6.23,4.62
1350,2.19,6.06,5.07
1360,2.22,5.95,5.03
1370,2.3,5.38,5.55
1380,2.41,4.24,5.93
1390,2.52,2.3,5.88
1400,2.51,-3.51,5.84
1410,3.22,1.32,-2.55
1420,4.13,0.13,8.17
1430,2.28,-2.08,7.13
1440,3.13,-3.41,6.18
1450,2.52,-2.69,7.31
1460,2.26,-0.25,7.92
1470,2.95,0.64,10.27
1480,3.24,-1.4,10.22
1490,3.47,-2.25,4.82
1500,3.22,-3.27,1.72
