timestamp,x,y,z
0,6.38,-0.22,7.62
10,6.35,-0.25,7.66
20,6.33,-0.18,7.66
30,6.32,-0.19,7.76
40,6.31,-0.04,7.8
50,6.28,0.13,7.66
60,6.29,0.23,7.43
70,6.33,0.17,7.28
80,6.39,-0.08,7.15
90,6.43,-0.33,7.06
100,6.42,-0.56,7.1
110,6.41,-0.68,7.21
120,6.39,-0.64,7.39
130,6.36,-0.4,7.6
140,6.34,-0.05,7.75
150,6.36,0.23,7.69
160,6.41,0.32,7.66
170,6.41,0.22,7.62
180,6.45,-0.03,7.6
190,6.46,-0.29,7.55
200,6.49,-0.49,7.5
210,6.51,-0.45,7.5
220,6.54,-0.23,7.48
230,6.54,0.0,7.54
240,6.55,0.23,7.7
250,6.56,0.41,7.9
260,6.52,0.48,7.98
270,6.49,0.57,8.03
280,6.46,0.65,8.15
290,6.43,0.81,8.25
300,6.46,1.06,8.15
310,6.43,1.44,8.1
320,6.38,1.85,8.05
330,6.3,2.38,7.83
340,6.17,3.11,7.3
350,5.88,3.84,6.52
360,5.64,4.66,5.93
370,5.42,5.33,5.59
380,5.2,5.83,5.3
390,4.96,5.83,4.92
400,4.83,5.57,4.55
410,4.46,5.56,4.26
420,4.17,5.79,3.91
430,3.87,6.37,3.26
440,3.58,6.84,2.39
450,3.42,6.83,1.62
460,3.27,6.04,1.36
470,3.17,4.27,2.25
480,3.06,1.94,2.89
490,2.77,-0.48,2.93
500,2.65,-2.7,3.39
510,2.51,-4.42,4.53
520,2.34,-5.48,5.76
530,2.11,-5.83,6.63
540,1.77,-5.26,6.53
550,1.54,-4.69,5.12
560,1.35,-4.36,3.89
570,1.33,-4.16,3.9
580,1.37,-4.41,4.44
590,1.28,-4.95,4.57
600,1.19,-5.2,4.36
610,1.17,-4.85,4.25
620,1.02,-4.57,4.56
630,0.84,-4.74,4.98
640,0.75,-5.29,5.71
650,0.52,-6.37,6.77
660,0.49,-7.79,7.79
670,0.48,-9.48,8.77
680,0.55,-10.9,9.94
690,0.58,-11.73,11.49
700,0.31,-12.27,13.55
710,0.0,-12.35,15.56
720,-0.51,-12.19,17.04
730,-1.06,-13.52,17.57
740,-0.31,-10.09,24.89
750,-1.38,-13.43,20.66
760,-0.94,-11.78,23.12
770,-1.39,-7.63,20.28
780,-1.42,-5.34,18.04
790,-1.28,-3.19,17.47
800,-1.08,-2.65,16.92
810,-0.89,-2.61,17.13
820,-0.71,-2.48,17.76
830,-0.45,-1.72,18.39
840,-0.32,-0.74,18.17
850,-0.27,-0.05,17.76
860,-0.18,0.6,17.52
870,-0.17,1.12,17.44
880,-0.01,1.51,17.17
890,0.3,1.45,16.8
900,0.84,1.07,16.32
910,1.31,1.17,15.93
920,1.34,1.9,15.34
930,1.39,3.11,15.06
940,1.23,4.66,14.94
950,1.08,6.28,14.02
960,1.12,7.51,13.43
970,1.24,8.53,12.79
980,1.54,9.5,12.72
990,1.66,10.01,11.81
1000,1.8,10.58,10.08
1010,1.86,11.39,8.15
1020,2.0,11.25,6.48
1030,2.22,10.07,5.46
1040,2.65,8.56,5.5
1050,2.96,7.53,6.65
1060,3.25,6.71,7.41
1070,3.41,5.69,8.05
1080,3.47,5.14,8.67
1090,3.47,4.98,9.12
1100,3.47,4.71,8.8
1110,3.39,4.4,7.75
1120,3.24,4.26,7.17
1130,3.22,4.2,7.23
1140,3.15,4.36,7.37
1150,2.98,4.6,7.41
1160,2.78,5.09,7.47
1170,2.38,5.68,6.33
1180,2.6,5.25,5.47
1190,2.62,4.35,5.82
1200,2.63,3.9,5.58
1210,2.58,3.1,4.42
1220,2.51,2.32,2.8
1230,2.46,2.16,2.23
1240,2.15,-1.39,3.4
1250,2.96,2.77,-0.93
1260,3.59,0.21,2.76
1270,2.33,5.47,2.69
1280,2.55,0.97,1.81
1290,2.66,3.69,5.11
1300,1.68,5.4,5.96
1310,2.25,4.93,7.21
1320,2.43,1.36,7.65
1330,2.6,-1.42,5.86
1340,3.62,0.14,0.98
1350,3.68,-4.12,-3.09
1360,3.95,-5.44,-2.75
1370,4.61,-6.41,0.89
1380,4.97,-6.14,5.96
1390,5.22,-8.94,9.72
1400,5.51,-10.18,11.85
1410,5.63,-8.91,11.66
1420,5.7,-6.7,10.67
1430,5.84,-5.76,10.22
1440,6.0,-5.6,8.59
1450,6.07,-5.13,6.58
1460,6.34,-4.75,6.46
1470,6.61,-5.48,7.77
1480,6.71,-6.5,7.8
1490,6.56,-7.05,6.51
1500,6.37,-6.32,6.05
