timestamp,x,y,z
0,1.19,-1.83,9.04
10,1.18,-1.71,9.3
20,1.18,-1.61,9.62
30,1.18,-1.62,9.73
40,1.22,-1.71,9.63
50,1.25,-1.69,9.56
60,1.28,-1.65,9.47
70,1.29,-1.59,9.26
80,1.29,-1.48,8.89
90,1.27,-1.46,8.75
100,1.29,-1.51,8.91
110,1.27,-1.47,9.11
120,1.26,-1.5,9.33
130,1.26,-1.62,9.49
140,1.24,-1.71,9.63
150,1.22,-1.7,9.7
160,1.15,-1.73,9.71
170,1.13,-1.68,9.6
180,1.11,-1.59,9.51
190,1.13,-1.61,9.51
200,1.16,-1.65,9.49
210,1.25,-1.69,9.4
220,1.34,-1.77,9.13
230,1.38,-1.81,8.67
240,1.44,-1.86,8.21
250,1.51,-1.87,7.85
260,1.49,-1.96,7.61
270,1.44,-2.09,7.39
280,1.34,-2.25,7.16
290,1.24,-2.44,6.91
300,1.16,-2.74,6.52
310,1.06,-2.64,6.13
320,1.02,-2.53,5.79
330,1.04,-2.54,5.53
340,1.0,-2.5,5.29
350,1.05,-2.53,4.84
360,1.03,-2.8,4.37
370,1.04,-3.32,4.04
380,1.16,-3.78,3.81
390,1.28,-3.84,3.43
400,1.45,-3.66,2.89
410,1.58,-3.18,2.27
420,1.47,-2.18,1.66
430,1.18,-1.03,1.58
440,0.63,-0.69,1.73
450,0.3,-0.79,2.25
460,0.07,-1.73,7.35
470,-0.28,-2.22,4.74
480,-0.73,-2.6,6.52
490,-1.25,-2.88,8.27
500,-1.78,-3.16,9.72
510,-2.32,-3.6,10.68
520,-2.74,-4.01,11.68
530,-2.92,-4.17,12.16
540,-2.89,-4.26,11.5
550,-2.74,-3.72,9.88
560,-2.82,-2.6,8.31
570,-3.04,-1.17,7.18
580,-3.3,0.34,6.7
590,-3.49,1.12,6.8
600,-3.53,1.51,7.83
610,-3.56,1.3,9.3
620,-3.68,1.26,10.11
630,-3.9,1.23,10.58
640,-4.2,1.02,11.13
650,-4.53,0.61,11.54
660,-4.8,-0.32,12.58
670,-5.08,-0.64,13.86
680,-4.93,-0.74,15.6
690,-4.86,-0.51,15.6
700,-4.72,-0.08,15.12
710,-4.75,0.68,14.45
720,-4.86,1.47,14.17
730,-4.97,2.29,14.62
740,-5.01,2.88,15.46
750,-4.87,2.87,16.07
760,-4.63,2.37,16.31
770,-4.36,1.79,15.92
780,-4.1,1.37,15.0
790,-3.94,1.1,13.7
800,-3.76,0.9,12.44
810,-3.67,0.69,11.44
820,-3.67,0.55,11.56
830,-3.63,0.03,12.18
840,-3.68,-0.37,12.53
850,-3.72,-0.59,12.8
860,-3.79,-1.0,12.88
870,-3.87,-1.77,13.03
880,-3.96,-2.39,13.0
890,-3.91,-2.46,12.71
900,-3.97,-2.4,12.44
910,-4.04,-2.46,12.89
920,-4.08,-2.41,13.52
930,-4.12,-2.22,14.08
940,-4.22,-2.1,14.41
950,-4.3,-2.1,14.59
960,-4.31,-2.37,14.64
970,-4.32,-3.08,14.43
980,-4.3,-3.68,14.01
990,-4.37,-4.03,13.39
1000,-4.4,-4.04,12.74
1010,-4.46,-3.76,12.64
1020,-4.55,-3.33,13.39
1030,-4.59,-2.66,13.84
1040,-4.57,-1.82,13.64
1050,-4.45,-0.8,13.27
1060,-4.25,0.14,12.81
1070,-4.08,0.68,12.13
1080,-3.82,0.71,11.47
1090,-3.53,0.58,10.47
1100,-3.32,0.51,9.36
1110,-3.05,0.55,8.52
1120,-2.87,0.61,8.35
1130,-2.69,0.77,8.9
1140,-2.62,0.82,9.76
1150,-2.53,0.79,10.38
1160,-2.47,0.56,10.57
1170,-2.4,0.31,10.41
1180,-2.26,-0.11,9.88
1190,-2.12,-0.32,8.86
1200,-1.95,-0.19,8.17
1210,-1.69,0.39,8.04
1220,-1.48,0.95,7.82
1230,-1.41,1.26,7.44
1240,-1.23,1.32,7.33
1250,-0.96,1.29,7.11
1260,-0.72,1.08,6.89
1270,-0.48,0.87,6.73
1280,-0.32,0.81,6.39
1290,-0.19,0.56,5.98
1300,-0.13,0.59,5.57
1310,-0.12,0.88,5.61
1320,0.02,1.15,5.98
1330,0.11,1.28,6.05
1340,0.19,1.34,6.04
1350,0.29,1.41,6.2
1360,0.39,1.61,6.56
1370,0.43,1.9,6.85
1380,0.53,2.14,6.55
1390,0.68,2.23,5.97
1400,0.94,2.13,5.52
1410,1.22,2.01,5.37
1420,1.37,1.81,5.83
1430,1.37,1.79,6.38
1440,1.21,1.82,6.88
1450,1.24,1.5,7.1
1460,1.28,1.15,6.84
1470,1.32,0.53,6.89
1480,1.4,-0.21,7.59
1490,1.39,-0.43,8.08
1500,1.36,-0.33,8.07
