timestamp,x,y,z
0,0.99,-1.36,9.58
10,1.0,-1.44,9.83
20,1.0,-1.49,9.91
30,1.04,-1.58,9.89
40,1.04,-1.66,9.77
50,1.07,-1.65,9.51
60,1.09,-1.62,9.16
70,1.05,-1.64,9.05
80,1.06,-1.75,9.29
90,1.04,-1.78,9.59
100,1.07,-1.78,9.72
110,1.08,-1.81,9.88
120,1.11,-1.78,9.98
130,1.11,-1.72,9.89
140,1.1,-1.64,9.63
150,1.1,-1.6,9.41
160,1.08,-1.62,9.34
170,1.07,-1.78,9.53
180,1.01,-1.94,9.78
190,0.93,-1.95,9.88
200,0.9,-1.85,10.03
210,0.91,-1.59,10.14
220,0.94,-1.26,10.16
230,0.94,-1.05,10.09
240,0.92,-1.01,9.93
250,0.94,-1.07,9.71
260,0.94,-1.31,9.56
270,0.97,-1.59,9.41
280,1.02,-1.71,9.23
290,1.15,-1.73,8.94
300,1.29,-1.62,8.6
310,1.44,-1.6,8.17
320,1.56,-1.71,7.73
330,1.68,-1.96,7.27
340,1.7,-2.33,6.76
350,1.63,-2.73,6.41
360,1.59,-2.89,6.21
370,1.51,-2.8,5.81
380,1.39,-2.6,5.2
390,1.38,-2.53,4.71
400,1.45,-2.71,4.49
410,1.48,-2.98,4.21
420,1.44,-3.11,4.0
430,1.41,-3.31,3.81
440,1.46,-3.4,3.57
450,1.46,-3.81,2.89
460,1.53,-3.62,2.03
470,1.33,-3.64,0.92
480,1.25,-3.33,0.8
490,1.04,-3.3,2.23
500,0.6,-2.51,2.38
510,0.23,-1.76,2.15
520,-0.21,-1.15,2.15
530,-0.56,-0.79,2.83
540,-0.77,-0.66,3.49
550,-1.06,-0.71,3.94
560,-1.5,-1.03,4.39
570,-2.01,-1.26,5.27
580,-2.38,-1.36,6.03
590,-2.84,-1.21,6.51
600,-3.31,-1.15,7.05
610,-3.62,-1.6,7.94
620,-3.95,-2.21,9.02
630,-4.17,-2.42,10.08
640,-4.41,-2.28,11.37
650,-4.68,-1.63,12.43
660,-4.98,-0.48,13.05
670,-5.02,0.34,12.61
680,-5.2,0.31,11.76
690,-5.18,-0.38,11.7
700,-5.17,-0.6,12.12
710,-5.31,-0.12,12.65
720,-5.53,0.69,13.93
730,-5.81,1.66,14.81
740,-6.05,2.66,16.2
750,-6.09,3.1,17.45
760,-5.93,2.82,17.78
770,-5.83,1.54,17.43
780,-5.68,-0.15,16.69
790,-5.55,-1.45,15.84
800,-5.36,-1.96,14.75
810,-5.23,-1.88,13.48
820,-5.08,-1.46,13.01
830,-4.88,-0.89,12.93
840,-4.71,-0.28,13.03
850,-4.59,0.35,12.98
860,-4.62,0.71,12.77
870,-4.76,0.75,12.64
880,-4.89,0.54,12.76
890,-5.02,0.06,13.08
900,-5.09,-0.95,13.56
910,-4.99,-2.08,13.83
920,-4.87,-2.53,13.71
930,-4.76,-2.32,13.19
940,-4.71,-2.19,12.61
950,-4.75,-2.23,12.16
960,-4.84,-2.23,12.22
970,-4.93,-2.69,12.87
980,-5.03,-3.27,13.65
990,-5.21,-3.3,14.38
1000,-5.49,-3.28,15.71
1010,-5.63,-3.32,16.32
1020,-5.6,-3.4,16.33
1030,-5.57,-3.61,15.98
1040,-5.53,-3.54,15.33
1050,-5.48,-2.92,14.75
1060,-5.5,-2.08,14.39
1070,-5.49,-1.26,14.12
1080,-5.46,-0.52,13.75
1090,-5.37,-0.11,13.58
1100,-5.15,-0.05,13.25
1110,-5.02,-0.03,12.95
1120,-4.92,0.21,12.78
1130,-4.67,0.58,12.35
1140,-4.57,0.84,12.07
1150,-4.38,1.03,11.98
1160,-4.2,1.24,11.44
1170,-4.0,1.26,10.71
1180,-3.78,1.27,9.84
1190,-3.47,1.58,8.99
1200,-3.04,1.92,8.16
1210,-2.6,2.18,7.59
1220,-2.14,2.3,7.18
1230,-1.75,2.48,6.61
1240,-1.47,2.46,5.64
1250,-1.41,2.36,4.81
1260,-1.25,1.88,4.65
1270,-1.05,0.93,5.14
1280,-0.9,0.06,5.75
1290,-0.77,-0.17,6.22
1300,-0.69,0.25,6.62
1310,-0.48,0.76,7.0
1320,-0.35,0.99,6.86
1330,-0.23,0.83,6.38
1340,-0.1,0.56,5.98
1350,0.02,0.4,5.59
1360,0.23,0.26,5.15
1370,0.39,0.38,4.86
1380,0.58,0.92,5.07
1390,0.77,1.5,5.72
1400,0.92,1.74,5.82
1410,1.1,1.96,5.33
1420,1.16,2.22,5.21
1430,1.21,2.18,5.88
1440,1.27,1.54,6.59
1450,1.24,0.63,6.73
1460,1.41,-0.13,6.63
1470,1.6,-0.65,6.52
1480,1.67,-1.22,6.59
1490,1.61,-1.42,6.92
1500,1.61,-1.07,7.26
