timestamp,x,y,z
0,1.65,-0.96,9.03
10,1.62,-0.77,9.03
20,1.61,-0.79,9.08
30,1.58,-0.94,9.23
40,1.57,-1.04,9.42
50,1.57,-1.15,9.54
60,1.64,-1.41,9.55
70,1.65,-1.49,9.4
80,1.69,-1.32,9.25
90,1.68,-1.07,9.09
100,1.66,-0.9,9.06
110,1.61,-0.68,9.18
120,1.54,-0.47,9.52
130,1.46,-0.39,9.89
140,1.42,-0.42,10.19
150,1.42,-0.41,10.36
160,1.4,-0.45,10.42
170,1.43,-0.55,10.28
180,1.52,-0.63,9.96
190,1.55,-0.69,9.7
200,1.54,-0.77,9.59
210,1.54,-0.8,9.54
220,1.51,-0.93,9.57
230,1.48,-1.1,9.73
240,1.46,-1.12,9.88
250,1.48,-1.06,9.85
260,1.55,-1.12,9.67
270,1.55,-1.04,9.45
280,1.51,-0.96,9.34
290,1.51,-0.87,9.22
300,1.49,-0.86,9.16
310,1.48,-0.88,9.19
320,1.51,-0.93,9.3
330,1.48,-1.01,9.34
340,1.49,-1.07,9.24
350,1.51,-1.11,9.22
360,1.54,-1.04,9.18
370,1.55,-1.08,9.1
380,1.56,-1.25,8.93
390,1.56,-1.49,8.61
400,1.63,-1.65,8.43
410,1.69,-1.66,8.21
420,1.76,-1.62,7.91
430,1.79,-1.65,7.61
440,1.78,-1.63,7.27
450,1.72,-1.56,6.98
460,1.63,-1.35,6.71
470,1.58,-1.17,6.35
480,1.55,-1.22,5.95
490,1.45,-1.36,5.67
500,1.41,-1.62,5.5
510,1.36,-1.93,5.13
520,1.37,-2.27,4.68
530,1.51,-2.59,3.58
540,1.53,-2.91,2.53
550,1.74,-2.93,0.67
560,2.12,-3.11,0.03
570,2.12,-3.15,-0.6
580,1.85,-3.53,-0.5
590,1.4,-3.8,0.04
600,0.8,-3.62,0.93
610,0.22,-3.39,2.2
620,-0.36,-3.05,3.11
630,-1.1,-2.49,3.72
640,-1.54,-1.83,4.66
650,-1.89,-1.41,5.57
660,-2.25,-1.77,6.67
670,-2.75,-1.91,7.91
680,-3.3,-2.32,9.37
690,-3.89,-2.79,10.82
700,-4.46,-3.39,11.95
710,-4.59,-3.89,11.85
720,-4.4,-4.06,10.88
730,-4.15,-3.91,9.84
740,-4.05,-3.4,9.35
750,-4.13,-2.69,9.22
760,-4.47,-1.58,9.56
770,-4.95,-0.42,10.52
780,-5.48,0.66,11.93
790,-5.83,1.17,13.41
800,-6.12,0.96,14.5
810,-6.19,0.23,15.45
820,-6.2,-0.37,16.04
830,-6.17,-0.41,16.53
840,-6.13,0.27,16.97
850,-6.0,1.27,17.27
860,-5.85,2.37,17.62
870,-5.39,3.34,17.28
880,-5.0,3.54,16.18
890,-4.6,3.07,14.96
900,-4.36,2.07,14.01
910,-4.27,0.92,13.47
920,-4.36,-0.03,13.31
930,-4.33,-0.65,13.04
940,-4.31,-1.06,13.13
950,-4.25,-1.49,13.0
960,-4.08,-1.86,12.73
970,-3.95,-2.01,12.25
980,-3.87,-2.09,11.7
990,-3.8,-2.12,11.25
1000,-3.87,-2.09,11.07
1010,-4.08,-2.07,11.57
1020,-4.34,-1.96,12.47
1030,-4.63,-1.99,13.8
1040,-5.06,-2.13,15.36
1050,-5.38,-2.43,17.08
1060,-5.63,-2.72,18.27
1070,-6.0,-3.02,19.3
1080,-6.28,-3.21,20.24
1090,-6.54,-3.13,20.65
1100,-6.44,-2.46,20.19
1110,-6.47,-1.84,19.09
1120,-6.25,-1.12,17.39
1130,-6.0,-0.45,15.7
1140,-5.67,-0.01,14.09
1150,-5.4,-0.06,12.65
1160,-5.13,-0.51,12.04
1170,-4.94,-0.82,11.79
1180,-4.73,-0.85,11.65
1190,-4.5,-0.8,11.54
1200,-4.21,-0.63,11.09
1210,-3.96,-0.46,10.6
1220,-3.73,-0.12,10.2
1230,-3.48,0.41,10.15
1240,-3.33,0.64,10.08
1250,-3.19,0.63,9.73
1260,-2.99,0.65,8.93
1270,-2.79,0.65,8.06
1280,-2.58,0.86,7.29
1290,-2.21,1.31,6.8
1300,-1.79,1.8,6.51
1310,-1.4,2.17,6.33
1320,-0.97,2.59,6.16
1330,-0.55,2.81,5.92
1340,-0.24,2.49,5.49
1350,-0.02,1.81,4.7
1360,0.1,0.95,4.2
1370,0.26,-0.15,4.03
1380,0.43,-0.85,4.07
1390,0.48,-0.68,4.85
1400,0.48,0.08,6.03
1410,0.58,0.87,6.7
1420,0.65,1.25,6.47
1430,0.91,1.3,6.13
1440,1.13,1.54,5.44
1450,1.37,1.41,5.06
1460,1.54,1.24,4.64
1470,1.65,1.27,4.33
1480,1.89,1.21,4.25
1490,2.07,0.91,4.34
1500,2.18,0.68,4.76
