timestamp,x,y,z
0,1.28,-1.66,9.48
10,1.29,-1.69,9.64
20,1.29,-1.74,9.72
30,1.25,-1.79,9.73
40,1.22,-1.87,9.69
50,1.17,-1.86,9.63
60,1.13,-1.82,9.62
70,1.12,-1.67,9.52
80,1.19,-1.52,9.42
90,1.22,-1.45,9.52
100,1.21,-1.41,9.64
110,1.23,-1.46,9.56
120,1.25,-1.56,9.44
130,1.2,-1.65,9.41
140,1.21,-1.7,9.31
150,1.21,-1.8,9.3
160,1.22,-1.92,9.37
170,1.24,-2.02,9.57
180,1.22,-2.05,9.7
190,1.23,-2.07,9.7
200,1.22,-2.03,9.56
210,1.22,-1.9,9.35
220,1.24,-1.71,9.28
230,1.24,-1.56,9.34
240,1.24,-1.46,9.44
250,1.24,-1.42,9.59
260,1.21,-1.48,9.81
270,1.22,-1.68,9.92
280,1.2,-1.81,9.84
290,1.18,-1.88,9.65
300,1.17,-1.97,9.48
310,1.14,-2.01,9.36
320,1.2,-2.07,9.2
330,1.27,-2.05,9.03
340,1.4,-2.01,8.76
350,1.54,-2.02,8.49
360,1.63,-2.13,8.07
370,1.7,-2.46,7.55
380,1.71,-2.98,6.99
390,1.63,-3.41,6.24
400,1.44,-3.59,5.43
410,1.23,-3.63,4.86
420,1.1,-3.7,4.46
430,0.97,-3.62,3.73
440,0.9,-3.53,2.98
450,1.94,-6.61,4.91
460,0.23,5.36,-29.27
470,-5.11,-4.96,9.67
480,-5.67,-5.22,12.44
490,-5.99,-4.06,14.12
500,-6.15,-2.46,15.02
510,-5.98,-0.75,15.66
520,-5.79,0.6,15.68
530,-5.56,1.46,14.98
540,-5.48,2.09,14.39
550,-5.5,2.63,14.15
560,-5.57,2.83,14.08
570,-5.84,2.87,13.99
580,-6.03,2.37,14.46
590,-6.02,1.48,15.52
600,-5.88,0.43,16.39
610,-5.71,-0.68,16.69
620,-5.69,-1.08,16.79
630,-5.7,-0.86,16.73
640,-5.7,-0.53,16.7
650,-5.6,-0.12,16.62
660,-5.4,0.1,16.66
670,-5.16,-0.25,16.43
680,-5.01,-0.66,15.94
690,-4.91,-1.01,15.59
700,-4.85,-1.25,15.16
710,-4.81,-1.44,14.93
720,-4.78,-1.6,14.92
730,-4.7,-1.66,14.85
740,-4.61,-1.48,14.72
750,-4.44,-1.19,14.23
760,-4.31,-1.19,13.49
770,-4.19,-1.46,12.81
780,-4.12,-1.8,12.33
790,-4.02,-2.23,12.33
800,-4.02,-2.5,12.6
810,-4.11,-2.66,13.32
820,-4.29,-3.14,14.25
830,-4.52,-3.96,15.05
840,-4.74,-4.7,15.16
850,-4.91,-5.17,15.29
860,-5.03,-5.2,15.32
870,-5.16,-4.52,15.54
880,-5.23,-3.61,15.48
890,-5.29,-2.99,15.23
900,-5.34,-2.45,14.91
910,-5.33,-1.65,14.28
920,-5.2,-0.84,13.52
930,-4.97,-0.12,12.43
940,-4.64,0.43,11.22
950,-4.32,0.74,10.24
960,-3.77,0.86,9.39
970,-3.49,0.97,9.34
980,-3.17,1.1,9.42
990,-2.82,0.68,9.07
1000,-2.46,0.32,8.19
1010,-2.26,0.05,7.11
1020,-2.04,-0.2,6.6
1030,-1.76,-0.22,6.19
1040,-1.61,-0.2,5.78
1050,-1.41,-0.13,5.73
1060,-1.15,0.12,6.22
1070,-0.91,0.39,6.71
1080,-0.8,0.67,6.56
1090,-0.65,0.96,5.9
1100,-0.47,1.28,5.26
1110,-0.2,1.7,4.76
1120,0.04,1.96,4.27
1130,0.36,1.96,4.02
1140,0.61,1.68,4.06
1150,0.75,1.36,4.01
1160,0.81,1.31,3.89
1170,0.88,1.51,4.01
1180,0.97,1.79,4.43
1190,1.1,1.7,5.21
1200,1.21,1.25,5.74
1210,1.29,0.89,5.72
1220,1.41,0.57,5.68
1230,1.53,0.68,5.66
1240,1.7,1.06,5.66
1250,1.77,1.66,5.64
1260,1.9,1.92,5.52
1270,1.99,1.73,5.16
1280,2.02,0.83,5.14
1290,2.04,-0.2,5.69
1300,1.89,-0.82,6.35
1310,1.87,-1.38,7.06
1320,1.9,-1.54,7.55
