timestamp,x,y,z
0,1.88,-1.7,8.83
10,2.63,-1.11,9.39
20,2.63,-1.26,9.5
30,2.65,-1.32,9.45
40,2.67,-1.29,9.39
50,2.67,-1.21,9.26
60,2.69,-1.14,9.17
70,2.66,-1.09,9.16
80,2.68,-1.05,9.21
90,2.68,-1.02,9.31
100,2.7,-1.05,9.37
110,2.7,-1.11,9.4
120,2.67,-1.11,9.43
130,2.64,-1.02,9.45
140,2.65,-0.98,9.45
150,2.64,-1.05,9.33
160,2.62,-1.08,9.36
170,2.67,-1.07,9.5
180,2.68,-1.15,9.54
190,2.69,-1.17,9.72
200,2.68,-1.16,9.94
210,2.64,-1.23,10.06
220,2.59,-1.38,10.05
230,2.58,-1.47,9.98
240,2.58,-1.47,9.79
250,2.58,-1.39,9.62
260,2.57,-1.23,9.48
270,2.6,-1.05,9.45
280,2.6,-0.9,9.43
290,2.59,-0.82,9.39
300,2.58,-0.79,9.27
310,2.58,-0.88,9.06
320,2.55,-1.11,8.96
330,2.55,-1.3,8.95
340,2.49,-1.46,8.96
350,2.45,-1.52,8.84
360,2.43,-1.42,8.59
370,2.43,-1.14,8.21
380,2.47,-1.05,7.63
390,2.49,-1.25,6.93
400,2.4,-1.63,6.45
410,2.46,-1.92,6.1
420,2.44,-2.21,5.67
430,2.38,-2.53,5.28
440,2.33,-2.68,4.86
450,2.2,-2.61,3.78
460,2.19,-2.92,3.18
470,2.06,-3.34,2.17
480,2.04,-3.76,1.17
490,2.15,-3.9,0.17
500,2.13,-3.6,-0.82
510,2.27,-3.33,-1.61
520,2.26,-2.77,-1.6
530,2.07,-2.37,-1.53
540,1.71,-2.18,-1.81
550,1.18,-1.64,-1.87
560,0.67,-0.94,-1.72
570,0.26,-0.59,-1.14
580,-0.24,-0.68,-0.07
590,-0.83,-1.08,2.29
600,-1.39,-1.49,4.6
610,-2.11,-1.47,7.71
620,-2.51,-1.4,8.61
630,-2.93,-1.52,9.82
640,-3.06,-1.76,11.4
650,-3.25,-1.97,12.01
660,-3.44,-1.84,12.45
670,-3.62,-1.24,12.34
680,-3.76,-0.24,11.9
690,-3.92,0.76,11.11
700,-4.16,1.36,10.45
710,-4.52,1.57,10.89
720,-4.85,1.59,12.13
730,-5.14,1.41,14.02
740,-5.37,1.08,15.96
750,-5.57,0.9,17.3
760,-5.69,0.64,17.32
770,-5.67,0.21,17.24
780,-5.44,0.04,17.07
790,-5.23,0.35,16.08
800,-5.12,0.9,15.18
810,-5.16,1.37,15.21
820,-5.19,1.7,15.5
830,-5.3,1.72,15.91
840,-5.35,1.46,16.52
850,-5.41,1.11,17.08
860,-5.43,0.96,17.57
870,-5.41,1.03,17.73
880,-5.38,1.1,17.39
890,-5.37,1.31,16.55
900,-5.31,1.46,15.84
910,-5.23,1.33,15.73
920,-5.2,1.21,16.05
930,-5.25,0.96,16.7
940,-5.43,0.43,17.68
950,-5.53,-0.12,18.38
960,-5.67,-0.4,18.66
970,-5.77,-0.62,19.06
980,-5.88,-0.77,19.82
990,-5.9,-1.06,20.64
1000,-6.02,-1.14,20.96
1010,-6.18,-1.32,20.9
1020,-6.31,-1.71,20.7
1030,-6.43,-1.46,20.31
1040,-6.49,-0.75,19.7
1050,-6.33,-0.03,18.49
1060,-6.02,0.96,17.17
1070,-5.71,1.65,15.89
1080,-5.42,1.83,14.6
1090,-5.08,1.92,13.62
1100,-4.73,1.77,12.54
1110,-4.35,1.65,11.38
1120,-3.96,1.61,10.19
1130,-3.61,1.48,9.55
1140,-3.35,1.14,9.43
1150,-3.16,0.66,8.98
1160,-2.83,0.42,7.87
1170,-2.49,0.55,6.12
1180,-2.26,1.08,5.2
1190,-1.87,1.48,5.29
1200,-1.42,1.7,5.27
1210,-1.19,1.81,3.96
1220,-0.71,1.62,1.84
1230,-0.11,1.52,1.05
1240,0.36,1.6,-0.58
1250,0.82,1.82,-1.7
1260,1.22,2.08,-1.21
1270,1.52,2.41,-1.12
1280,1.72,2.33,-0.47
1290,1.86,2.0,0.5
1300,2.07,1.96,0.4
1310,2.31,2.12,0.85
1320,2.63,2.02,0.66
1330,2.78,1.56,1.13
1340,2.81,1.42,2.03
1350,2.81,1.56,2.61
1360,2.87,1.57,2.91
1370,3.08,1.29,3.58
1380,3.22,1.01,4.08
1390,3.24,0.83,5.22
1400,3.19,0.46,6.16
1410,3.09,-0.28,6.53
1420,2.98,-0.78,6.7
1430,2.94,-1.04,6.81
1440,2.84,-1.13,7.21
1450,2.84,-0.89,7.41
1460,2.79,-0.59,7.64
1470,2.74,-0.26,7.92
1480,2.75,0.27,7.87
1490,2.84,0.7,7.87
1500,2.95,1.03,8.15
